"filename", "language", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\Nitro 5\Documents\ISU NAVIGATION WEB APP\src\components\BottomNav.tsx", "TypeScript JSX", 0, -43, 0, -3, -46
"c:\Users\Nitro 5\Documents\ISU NAVIGATION WEB APP\src\components\BuildingDetailPanel.tsx", "TypeScript JSX", 0, -78, 0, -10, -88
"c:\Users\Nitro 5\Documents\ISU NAVIGATION WEB APP\src\components\Header.tsx", "TypeScript JSX", 0, -25, 0, -5, -30
"c:\Users\Nitro 5\Documents\ISU NAVIGATION WEB APP\src\components\MapController.tsx", "TypeScript JSX", 0, -22, 0, -7, -29
"c:\Users\Nitro 5\Documents\ISU NAVIGATION WEB APP\src\components\PhoneFrame.tsx", "TypeScript JSX", 0, -25, -2, -2, -29
"c:\Users\Nitro 5\Documents\ISU NAVIGATION WEB APP\src\components\ShareCard.tsx", "TypeScript JSX", 0, -98, -4, -11, -113
"c:\Users\Nitro 5\Documents\ISU NAVIGATION WEB APP\src\components\ThemeToggle.tsx", "TypeScript JSX", 0, -22, 0, -4, -26
"c:\Users\Nitro 5\Documents\ISU NAVIGATION WEB APP\src\data\campusCredit.ts", "TypeScript", 47, 0, 0, 4, 51
"c:\Users\Nitro 5\Documents\ISU NAVIGATION WEB APP\src\data\campusData.ts", "TypeScript", 98, 0, 0, 9, 107
"c:\Users\Nitro 5\Documents\ISU NAVIGATION WEB APP\src\data\campusGeoJSON.ts", "TypeScript", 922, 0, 3, 86, 1011
"c:\Users\Nitro 5\Documents\ISU NAVIGATION WEB APP\src\data\isuMetadata.ts", "TypeScript", 11, 0, 0, 0, 11
"Total", "-", 1078, -313, -3, 57, 819